DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2011,10,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2012,31,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2013,24,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2014,15,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2015,12,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2016,16,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2017,23,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2018,21,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2019,19,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,AT,2020,8,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2011,19,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2012,14,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2013,20,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2014,12,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2015,14,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2016,16,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2017,12,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2018,17,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2019,10,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BE,2020,12,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2011,19,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2012,16,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2013,20,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2014,22,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2015,16,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2016,20,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2017,26,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2018,21,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2019,20,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,BG,2020,22,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,CH,2011,11,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,CH,2012,22,
