DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2011,5503,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2012,4609,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2013,4457,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2014,4669,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2015,3946,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2016,4017,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2017,4205,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2018,4421,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2019,3804,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,AT,2020,3408,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2011,464,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2012,370,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2013,351,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2014,359,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2015,335,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2016,408,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2017,386,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2018,398,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2019,345,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BE,2020,399,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2011,49,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2012,54,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2013,56,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2014,59,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2015,64,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2016,38,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2017,59,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2018,42,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2019,43,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,BG,2020,38,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2011,1552,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2012,1623,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2013,1695,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2014,1609,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2015,1744,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2016,1715,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2017,1622,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2018,1744,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2019,1685,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CH,2020,1620,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CY,2011,37,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CY,2012,35,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CY,2013,27,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CY,2014,31,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CY,2015,26,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CY,2016,40,
